System.Xml.XmlDocument, XmlDoc, xmldocument
System.String, SelectedNodeFullPath, string
System.String, SaveDirectory, string
System.String, TemplateDirectory, string
System.Boolean, ShowAnsi, boolean
System.Boolean, ShowIso, boolean
System.Boolean, AddProp, boolean
System.String, MaterialLibrary, string
System.Windows.Forms.IButtonControl, AcceptButton, ibuttoncontrol
System.Windows.Forms.Form, ActiveMdiChild, form
System.Boolean, AllowTransparency, boolean
System.Boolean, AutoScale, boolean
System.Drawing.Size, AutoScaleBaseSize, size
System.Boolean, AutoScroll, boolean
System.Boolean, AutoSize, boolean
System.Windows.Forms.AutoSizeMode, AutoSizeMode, autosizemode
System.Windows.Forms.AutoValidate, AutoValidate, autovalidate
System.Drawing.Color, BackColor, color
System.Windows.Forms.FormBorderStyle, FormBorderStyle, formborderstyle
System.Windows.Forms.IButtonControl, CancelButton, ibuttoncontrol
System.Drawing.Size, ClientSize, size
System.Boolean, ControlBox, boolean
System.Drawing.Rectangle, DesktopBounds, rectangle
System.Drawing.Point, DesktopLocation, point
System.Windows.Forms.DialogResult, DialogResult, dialogresult
System.Boolean, HelpButton, boolean
System.Drawing.Icon, Icon, icon
System.Boolean, IsMdiChild, boolean
System.Boolean, IsMdiContainer, boolean
System.Boolean, IsRestrictedWindow, boolean
System.Boolean, KeyPreview, boolean
System.Drawing.Point, Location, point
System.Drawing.Size, MaximumSize, size
System.Windows.Forms.MenuStrip, MainMenuStrip, menustrip
System.Windows.Forms.Padding, Margin, padding
System.Drawing.Size, MinimumSize, size
System.Boolean, MaximizeBox, boolean
System.Windows.Forms.Form[], MdiChildren, form[]
System.Boolean, MdiChildrenMinimizedAnchorBottom, boolean
System.Windows.Forms.Form, MdiParent, form
System.Boolean, MinimizeBox, boolean
System.Boolean, Modal, boolean
System.Double, Opacity, double
System.Windows.Forms.Form[], OwnedForms, form[]
System.Windows.Forms.Form, Owner, form
System.Drawing.Rectangle, RestoreBounds, rectangle
System.Boolean, RightToLeftLayout, boolean
System.Boolean, ShowInTaskbar, boolean
System.Boolean, ShowIcon, boolean
System.Drawing.Size, Size, size
System.Windows.Forms.SizeGripStyle, SizeGripStyle, sizegripstyle
System.Windows.Forms.FormStartPosition, StartPosition, formstartposition
System.Int32, TabIndex, int32
System.Boolean, TabStop, boolean
System.String, Text, string
System.Boolean, TopLevel, boolean
System.Boolean, TopMost, boolean
System.Drawing.Color, TransparencyKey, color
System.Windows.Forms.FormWindowState, WindowState, formwindowstate
System.Drawing.SizeF, AutoScaleDimensions, sizef
System.Windows.Forms.AutoScaleMode, AutoScaleMode, autoscalemode
System.Windows.Forms.BindingContext, BindingContext, bindingcontext
System.Windows.Forms.Control, ActiveControl, control
